Order Number,Year,Month,Day,Product Number,Product Name,Count,Extra Col1,Extra Col2,Empty Column
1000,2018,1,1,P-10001,Arugola,"5,250.50",Lorem,Ipsum,
1001,2017,12,12,P-10002,Iceberg lettuce,500,Lorem,Ipsum,
1002,2022,2,12,P-10003,zuccini ,"3,900.00",Lorem,Ipsum,
1003,2020,5,12,P-10004,cilantro,"99,009.00",Lorem,Ipsum,
1004,1970,3,12,P-10005,tomatoes,"2,450.00",Lorem,Ipsum,
1005,1989,4,12,P-10006,potatoes,300,Lorem,Ipsum,
1006,1990,12,12,P-10007,capsicum ,409,Lorem,Ipsum,
1007,2009,12,12,P-10008,Arugola,"5,250.60",Lorem,Ipsum,
1008,2001,12,12,P-10009,Iceberg lettuce,501,Lorem,Ipsum,
1009,2002,12,12,P-10010,zuccini ,"3,901.00",Lorem,Ipsum,
1010,2010,12,12,P-10011,cilantro,"99,010.00",Lorem,Ipsum,
1011,2009,12,12,P-10012,tomatoes,"1,850.00",Lorem,Ipsum,
1012,2008,12,12,P-10013,potatoes,"4,000.00",Lorem,Ipsum,
1013,2008,12,12,P-10014,capsicum ,900,Lorem,Ipsum,
1014,2008,12,12,P-10015,Arugola,"5,250.70",Lorem,Ipsum,
1015,2008,12,12,P-10016,Iceberg lettuce,502,Lorem,Ipsum,
1016,2008,12,12,P-10017,zuccini ,"3,902.00",Lorem,Ipsum,
1017,2008,12,12,P-10018,cilantro,"99,011.00",Lorem,Ipsum,
1018,2008,12,12,P-10019,tomatoes,"6,150.00",Lorem,Ipsum,
1019,2008,12,12,P-10020,potatoes,"5,250.50",Lorem,Ipsum,
1020,2008,12,12,P-10021,capsicum ,500,Lorem,Ipsum,
1021,2008,12,12,P-10022,Arugola,"3,900.00",Lorem,Ipsum,
1022,2008,12,12,P-10023,Iceberg lettuce,"99,009.00",Lorem,Ipsum,
1023,2008,12,12,P-10024,zuccini ,"2,450.00",Lorem,Ipsum,
1024,2008,12,12,P-10025,cilantro,300,Lorem,Ipsum,
1025,2008,12,12,P-10026,tomatoes,409,Lorem,Ipsum,
1026,2008,12,12,P-10027,potatoes,"5,250.60",Lorem,Ipsum,
1027,2008,12,12,P-10028,capsicum ,501,Lorem,Ipsum,
1028,2008,12,12,P-10029,Arugola,"3,901.00",Lorem,Ipsum,
1029,2008,12,12,P-10030,Iceberg lettuce,"99,010.00",Lorem,Ipsum,
1030,2008,12,12,P-10031,zuccini ,"1,850.00",Lorem,Ipsum,
1031,2008,12,12,P-10032,cilantro,"4,000.00",Lorem,Ipsum,
1032,2008,12,12,P-10033,tomatoes,900,Lorem,Ipsum,
1033,2008,12,12,P-10034,potatoes,"5,250.70",Lorem,Ipsum,
1034,2008,12,12,P-10035,capsicum ,502,Lorem,Ipsum,
1035,2008,12,12,P-10036,Arugola,"3,902.00",Lorem,Ipsum,
1036,2008,12,12,P-10037,Iceberg lettuce,"99,011.00",Lorem,Ipsum,
1037,2008,12,12,P-10038,zuccini ,"6,150.00",Lorem,Ipsum,
1038,2008,12,12,P-10039,cilantro,"5,250.50",Lorem,Ipsum,
1039,2008,12,12,P-10040,tomatoes,500,Lorem,Ipsum,
1040,2008,12,12,P-10041,potatoes,"3,900.00",Lorem,Ipsum,
1041,2008,12,12,P-10042,capsicum ,"99,009.00",Lorem,Ipsum,
1042,2008,12,12,P-10043,Arugola,"2,450.00",Lorem,Ipsum,
1043,2008,12,12,P-10044,Iceberg lettuce,300,Lorem,Ipsum,
1044,2008,12,12,P-10045,zuccini ,409,Lorem,Ipsum,
1045,2008,12,12,P-10046,cilantro,"5,250.60",Lorem,Ipsum,
1046,2008,12,12,P-10047,tomatoes,501,Lorem,Ipsum,
1047,2008,12,12,P-10048,potatoes,"3,901.00",Lorem,Ipsum,
1048,2008,12,12,P-10049,capsicum ,"99,010.00",Lorem,Ipsum,
1049,2008,12,12,P-10050,Arugola,"1,850.00",Lorem,Ipsum,
1050,2008,12,12,P-10051,Iceberg lettuce,"4,000.00",Lorem,Ipsum,
1051,2008,12,12,P-10052,zuccini ,900,Lorem,Ipsum,
1052,2008,12,12,P-10053,cilantro,"5,250.70",Lorem,Ipsum,
1053,2008,12,12,P-10054,tomatoes,502,Lorem,Ipsum,
1054,2008,12,12,P-10055,potatoes,"3,902.00",Lorem,Ipsum,
1055,2008,12,12,P-10056,capsicum ,"99,011.00",Lorem,Ipsum,
1056,2008,12,12,P-10057,Arugola,"6,150.00",Lorem,Ipsum,
1057,2008,12,12,P-10058,Iceberg lettuce,"5,250.50",Lorem,Ipsum,
1058,2008,12,12,P-10059,zuccini ,500,Lorem,Ipsum,
1059,2008,12,12,P-10060,cilantro,"3,900.00",Lorem,Ipsum,
1060,2008,12,12,P-10061,tomatoes,"99,009.00",Lorem,Ipsum,
1061,2008,12,12,P-10062,potatoes,"2,450.00",Lorem,Ipsum,
1062,2008,12,12,P-10063,capsicum ,300,Lorem,Ipsum,
1063,2008,12,12,P-10064,Arugola,409,Lorem,Ipsum,
1064,2008,12,12,P-10065,Iceberg lettuce,"5,250.60",Lorem,Ipsum,
1065,2008,12,12,P-10066,zuccini ,501,Lorem,Ipsum,
1066,2008,12,12,P-10067,cilantro,"3,901.00",Lorem,Ipsum,
1067,2008,12,12,P-10068,tomatoes,"99,010.00",Lorem,Ipsum,
1068,2008,12,12,P-10069,potatoes,"1,850.00",Lorem,Ipsum,
1069,2008,12,12,P-10070,capsicum ,"4,000.00",Lorem,Ipsum,
1070,2008,12,12,P-10071,Arugola,900,Lorem,Ipsum,
1071,2008,12,12,P-10072,Iceberg lettuce,"5,250.70",Lorem,Ipsum,
1072,2008,12,12,P-10073,zuccini ,502,Lorem,Ipsum,
1073,2008,12,12,P-10074,cilantro,"3,902.00",Lorem,Ipsum,
1074,2008,12,12,P-10075,tomatoes,"99,011.00",Lorem,Ipsum,
1075,2008,12,12,P-10076,potatoes,"6,150.00",Lorem,Ipsum,
1076,2008,12,12,P-10077,capsicum ,"5,250.50",Lorem,Ipsum,
1077,2008,12,12,P-10078,Arugola,500,Lorem,Ipsum,
1078,2008,12,12,P-10079,Iceberg lettuce,"3,900.00",Lorem,Ipsum,
1079,2008,12,12,P-10080,zuccini ,"99,009.00",Lorem,Ipsum,
1080,2008,12,12,P-10081,cilantro,"2,450.00",Lorem,Ipsum,
1081,2008,12,12,P-10082,tomatoes,300,Lorem,Ipsum,
1082,2008,12,12,P-10083,potatoes,409,Lorem,Ipsum,
1083,2008,12,12,P-10084,capsicum ,"5,250.60",Lorem,Ipsum,
1084,2008,12,12,P-10085,Arugola,501,Lorem,Ipsum,
1085,2008,12,12,P-10086,Iceberg lettuce,"3,901.00",Lorem,Ipsum,
1086,2008,12,12,P-10087,zuccini ,"99,010.00",Lorem,Ipsum,
1087,2008,12,12,P-10088,cilantro,"1,850.00",Lorem,Ipsum,
1088,2008,12,12,P-10089,tomatoes,"4,000.00",Lorem,Ipsum,
